FamilyName	StyleName	xHeight	CapHeight	Weight	Contrast	Lesser Thickness Slope	Superior Overshooting	Inferior Overshooting	Ascenders	Descenders	n Expansion	o Expansion	n/o Ratio	O Expansion	R Expansion	R/O Ratio	AltezzaMassimaH	PuntoMedioAstaOrizzontaleH	PuntoMedioAstaVerticaleT	AggettoSinistroT	AggettoDestroT	SimmetriaAggettiT	o Average Squaring	o Internal Squaring	o External Squaring	Bezier	Grazie	Spacing
Helvetica	Black	524	1.374	0.3969	0.67	0	0.0286	0.0286	1.4103	-0.1842	0.6908	0.7405	0.93	0.9905	0.8244	0.83	720	0.525	0.5	212	212	False	0.6203	0.625	0.6157	curve	Sans	Proportional
Helvetica	Bold	532	1.3496	0.2632	0.82	0	0.0263	0.0263	1.3665	-0.2077	0.641	0.7519	0.85	1.015	0.828	0.82	718	0.5348	0.5008	217	217	False	0.6188	0.6318	0.6057	curve	Sans	Proportional
Helvetica	Condensed	556	1.3489	0.1421	0.81	0	0.027	0.027	1.3489	-0.1826	0.4964	0.5683	0.87	0.7338	0.6485	0.88	750	0.5327	0.501	194	194	False	0.6869	0.7038	0.6701	curve	Sans	Proportional
Helvetica	Light	518	1.39	0.1158	0.84	6	0.027	0.027	1.4169	-0.2104	0.6776	0.8031	0.84	1.1641	0.8861	0.76	720	0.5306	0.5	228	228	False	0.616	0.6223	0.6098	curve	Sans	Proportional
Helvetica	Light Condensed	552	1.3587	0.1051	0.87	-13	0.0254	0.0254	1.3586	-0.1848	0.4638	0.5236	0.89	0.6812	0.5634	0.83	750	0.536	0.5011	170	170	False	0.6697	0.6678	0.6717	curve	Sans	Proportional
Helvetica	Roman	523	1.3728	0.1683	0.83	0	0.0287	0.0268	1.3919	-0.2122	0.6463	0.7553	0.86	1.1472	0.8977	0.78	718	0.5265	0.5	243	243	False	0.5888	0.5895	0.5882	curve	Sans	Proportional
Helvetica Neue	Bold	517	1.381	0.2747	0.75	0	0.0271	0.0271	1.381	-0.1896	0.6634	0.7602	0.87	1.0542	0.8453	0.8	714	0.5238	0.5	214	214	False	0.6197	0.6337	0.6056	curve	Sans	Proportional
Helvetica Neue	Bold Condensed	538	1.3271	0.2565	0.68	0	0.026	0.026	1.3531	-0.1766	0.5019	0.5316	0.94	0.6357	0.5799	0.91	714	0.5308	0.5	156	156	False	0.7247	0.7417	0.7076	curve	Sans	Proportional
Helvetica Neue	Bold Extended	536	1.3321	0.3284	0.68	0	0.0373	0.0373	1.3693	-0.2043	0.8302	0.9813	0.85	1.2724	1.0261	0.81	714	0.5294	0.5	265	265	False	0.6436	0.637	0.6501	curve	Sans	Proportional
Helvetica Neue	Black	519	1.3757	0.3815	0.73	0	0.025	0.025	1.3757	-0.1744	0.659	0.7091	0.93	0.9711	0.8324	0.86	714	0.5245	0.5	200	200	False	0.632	0.6552	0.6087	curve	Sans	Proportional
Helvetica Neue	Black Condensed	541	1.3198	0.3327	0.64	0	0.0259	0.0259	1.3456	-0.1756	0.4954	0.5176	0.96	0.5878	0.5564	0.95	714	0.5224	0.5	140	140	False	0.7609	0.81	0.7118	curve	Sans	Proportional
Helvetica Neue	Black Extended	547	1.3053	0.457	0.62	0	0.0402	0.0402	1.3619	-0.1993	0.8446	1.0018	0.84	1.2358	1.0402	0.84	714	0.5252	0.5	261	261	False	0.6832	0.6772	0.6891	curve	Sans	Proportional
Helvetica Neue	Condensed	536	1.3321	0.1567	0.75	-2	0.0261	0.0261	1.347	-0.1772	0.5019	0.556	0.9	0.6866	0.6045	0.88	714	0.5364	0.4989	179	180	False	0.6766	0.6852	0.668	curve	Sans	Proportional
Helvetica Neue	Extended	524	1.3626	0.1908	0.79	0	0.0344	0.0344	1.3969	-0.2099	0.8149	0.958	0.85	1.313	1.0134	0.77	714	0.535	0.5	270	270	False	0.6069	0.6085	0.6052	curve	Sans	Proportional
Helvetica Neue	Heavy	519	1.3757	0.3276	0.76	0	0.0289	0.0289	1.3757	-0.1821	0.6686	0.7264	0.92	0.9981	0.8247	0.83	714	0.5238	0.5	213	213	False	0.5942	0.61	0.5785	curve	Sans	Proportional
Helvetica Neue	Heavy Condensed	541	1.3198	0.2994	0.65	1	0.0259	0.0259	1.3456	-0.1756	0.4935	0.525	0.94	0.6063	0.5656	0.93	714	0.5266	0.5	150	150	False	0.7447	0.773	0.7163	curve	Sans	Proportional
Helvetica Neue	Heavy Extended	542	1.3173	0.3911	0.63	0	0.0406	0.0406	1.3726	-0.2011	0.8376	0.9889	0.85	1.2509	1.0415	0.83	714	0.5308	0.5	262	262	False	0.6455	0.641	0.65	curve	Sans	Proportional
Helvetica Neue	Light	516	1.3837	0.1221	0.84	0	0.0291	0.0291	1.3837	-0.1996	0.6899	0.8236	0.84	1.1725	0.9225	0.79	714	0.5252	0.5	249	249	False	0.5896	0.5843	0.5948	curve	Sans	Proportional
Helvetica Neue	Light Condensed	531	1.3446	0.113	0.78	0	0.0226	0.0226	1.3597	-0.177	0.5047	0.5687	0.89	0.7382	0.629	0.85	714	0.5364	0.5	184	184	False	0.6531	0.654	0.6521	curve	Sans	Proportional
Helvetica Neue	Light Extended	520	1.3731	0.1423	0.84	0	0.0308	0.0308	1.3846	-0.2096	0.85	0.9923	0.86	1.3385	1.0462	0.78	714	0.5294	0.5	280	280	False	0.6053	0.6088	0.6017	curve	Sans	Proportional
Helvetica Neue	Medium	517	1.381	0.2205	0.79	0	0.0271	0.0271	1.381	-0.1983	0.6576	0.7892	0.83	1.0812	0.8743	0.81	714	0.5266	0.5	226	227	False	0.6004	0.5921	0.6088	curve	Sans	Proportional
